Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Team,Performance_Index
Pascal Groß,de GER,"MF,DF",32.0,36,34,3114.0,34.6,4.0,10.0,14.0,3.0,1.0,1.0,6.0,0.0,6.5,5.7,8.1,13.8,83.0,302.0,180.0,0.12,0.29,0.4,0.09,0.38,0.19,0.24,0.42,0.16,0.4,Brighton,4449.0
Lewis Dunk,eng ENG,DF,31.0,33,33,2869.0,31.9,3.0,1.0,4.0,3.0,0.0,0.0,7.0,1.0,3.1,3.1,0.9,4.0,33.0,152.0,13.0,0.09,0.03,0.13,0.09,0.13,0.1,0.03,0.12,0.1,0.12,Brighton,729.7777777777778
Jan Paul van Hecke,nl NED,DF,23.0,28,26,2369.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.9,2.1,25.0,147.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Brighton,478.22222222222223
Simon Adingra,ci CIV,FW,21.0,31,25,2222.0,24.7,6.0,1.0,7.0,6.0,0.0,0.0,3.0,0.0,4.3,4.3,3.7,8.0,111.0,50.0,278.0,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32,Brighton,6089.888888888889
Billy Gilmour,sct SCO,MF,22.0,30,24,2120.0,23.6,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,2.0,3.0,39.0,193.0,33.0,0.0,0.04,0.04,0.0,0.04,0.04,0.09,0.13,0.04,0.13,Brighton,995.5555555555555
Bart Verbruggen,nl NED,GK,20.0,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,210.0
Danny Welbeck,eng ENG,"FW,MF",32.0,29,21,1693.0,18.8,5.0,1.0,6.0,5.0,0.0,0.0,4.0,0.0,5.3,5.3,1.7,7.0,32.0,44.0,100.0,0.27,0.05,0.32,0.27,0.32,0.28,0.09,0.37,0.28,0.37,Brighton,2451.1111111111113
João Pedro,br BRA,"FW,MF",21.0,31,19,2045.0,22.7,9.0,3.0,12.0,5.0,4.0,5.0,2.0,0.0,11.9,7.9,3.8,11.7,83.0,92.0,205.0,0.4,0.13,0.53,0.22,0.35,0.53,0.17,0.69,0.35,0.51,Brighton,4917.222222222223
Igor,br BRA,DF,25.0,24,17,1637.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.7,1.0,30.0,107.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Brighton,454.8888888888889
Joël Veltman,nl NED,DF,31.0,27,17,1588.0,17.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.5,0.9,24.0,85.0,54.0,0.06,0.06,0.11,0.06,0.11,0.02,0.03,0.05,0.02,0.05,Brighton,1287.4444444444443
Jason Steele,eng ENG,GK,32.0,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,170.0
Facundo Buonanotte,ar ARG,"FW,MF",18.0,27,17,1364.0,15.2,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,2.4,2.4,1.8,4.2,23.0,42.0,69.0,0.2,0.07,0.26,0.2,0.26,0.16,0.12,0.28,0.16,0.28,Brighton,1681.5555555555557
Kaoru Mitoma,jp JPN,FW,26.0,19,15,1486.0,16.5,3.0,4.0,7.0,3.0,0.0,0.0,4.0,0.0,3.5,3.5,2.7,6.2,121.0,64.0,239.0,0.18,0.24,0.42,0.18,0.42,0.21,0.16,0.37,0.21,0.37,Brighton,5166.111111111111
