Feature,Mean_Impact
xG,0.799696638412113
npxG,0.691470477425847
Min,0.2697792455844896
xAG,0.26664407963841164
npxG_per90,0.25409686597508874
Age,0.20781633551477713
PrgP,0.15902622342165054
xAG_per90,0.14800922178031653
PrgR,0.11796975906479373
xG_per90,0.06178775143151407
90s,0.026974189238407918
usage,0.019851624910239063
PrgC,0.010106087812154262
